file_name;file_path;FINAL_GEOUNIT
Kuwait;files/outlines/Kuwait.png;Kuwait
Kyrgyzstan;files/outlines/Kyrgyzstan.png;Kyrgyzstan
Laos;files/outlines/Laos.png;Laos
Latvia;files/outlines/Latvia.png;Latvia
Lebanon;files/outlines/Lebanon.png;Lebanon
Lesotho;files/outlines/Lesotho.png;Lesotho
Liberia;files/outlines/Liberia.png;Liberia
Libya;files/outlines/Libya.png;Libya
Liechtenstein;files/outlines/Liechtenstein.png;Liechtenstein
Lithuania;files/outlines/Lithuania.png;Lithuania
Luxembourg;files/outlines/Luxembourg.png;Luxembourg
Macao_S.A.R;files/outlines/Macao_S.A.R.png;Macao S.A.R
Madagascar;files/outlines/Madagascar.png;Madagascar
Madeira;files/outlines/Madeira.png;Madeira
Malawi;files/outlines/Malawi.png;Malawi
Malaysia;files/outlines/Malaysia.png;Malaysia
Maldives;files/outlines/Maldives.png;Maldives
Mali;files/outlines/Mali.png;Mali
Malta;files/outlines/Malta.png;Malta
Marshall_Islands;files/outlines/Marshall_Islands.png;Marshall Islands
Martinique;files/outlines/Martinique.png;Martinique
Mauritania;files/outlines/Mauritania.png;Mauritania
Mauritius;files/outlines/Mauritius.png;Mauritius
Mayotte;files/outlines/Mayotte.png;Mayotte
Mexico;files/outlines/Mexico.png;Mexico
Moldova;files/outlines/Moldova.png;Moldova
Monaco;files/outlines/Monaco.png;Monaco
Mongolia;files/outlines/Mongolia.png;Mongolia
Montenegro;files/outlines/Montenegro.png;Montenegro
Montserrat;files/outlines/Montserrat.png;Montserrat
Morocco;files/outlines/Morocco.png;Morocco
Mozambique;files/outlines/Mozambique.png;Mozambique
Myanmar;files/outlines/Myanmar.png;Myanmar
Namibia;files/outlines/Namibia.png;Namibia
Nepal;files/outlines/Nepal.png;Nepal
Netherlands;files/outlines/Netherlands.png;Netherlands
New_Caledonia;files/outlines/New_Caledonia.png;New Caledonia
New_Zealand;files/outlines/New_Zealand.png;New Zealand
Nicaragua;files/outlines/Nicaragua.png;Nicaragua
Niger;files/outlines/Niger.png;Niger
Nigeria;files/outlines/Nigeria.png;Nigeria
Niue;files/outlines/Niue.png;Niue
Norfolk_Island;files/outlines/Norfolk_Island.png;Norfolk Island
North_Korea;files/outlines/North_Korea.png;North Korea
North_Macedonia;files/outlines/North_Macedonia.png;North Macedonia
Northern_Mariana_Islands;files/outlines/Northern_Mariana_Islands.png;Northern Mariana Islands
Norway;files/outlines/Norway.png;Norway
Oman;files/outlines/Oman.png;Oman
Pakistan;files/outlines/Pakistan.png;Pakistan
Palau;files/outlines/Palau.png;Palau
Panama;files/outlines/Panama.png;Panama
Papua_New_Guinea;files/outlines/Papua_New_Guinea.png;Papua New Guinea
Paracel_Islands;files/outlines/Paracel_Islands.png;Paracel Islands
Paraguay;files/outlines/Paraguay.png;Paraguay
Peru;files/outlines/Peru.png;Peru
Philippines;files/outlines/Philippines.png;Philippines
Pitcairn_Islands;files/outlines/Pitcairn_Islands.png;Pitcairn Islands
Poland;files/outlines/Poland.png;Poland
Portugal;files/outlines/Portugal.png;Portugal
Puerto_Rico;files/outlines/Puerto_Rico.png;Puerto Rico
Qatar;files/outlines/Qatar.png;Qatar
Republic_of_the_Congo;files/outlines/Republic_of_the_Congo.png;Republic of the Congo
Reunion;files/outlines/Reunion.png;Reunion
Romania;files/outlines/Romania.png;Romania
Russia;files/outlines/Russia.png;Russia
Rwanda;files/outlines/Rwanda.png;Rwanda
Saint_Kitts_and_Nevis;files/outlines/Saint_Kitts_and_Nevis.png;Saint Kitts and Nevis
Saint_Lucia;files/outlines/Saint_Lucia.png;Saint Lucia
Saint_Pierre_and_Miquelon;files/outlines/Saint_Pierre_and_Miquelon.png;Saint Pierre and Miquelon
Saint_Vincent_and_the_Grenadines;files/outlines/Saint_Vincent_and_the_Grenadines.png;Saint Vincent and the Grenadines
Samoa;files/outlines/Samoa.png;Samoa
San_Marino;files/outlines/San_Marino.png;San Marino
Saudi_Arabia;files/outlines/Saudi_Arabia.png;Saudi Arabia
Senegal;files/outlines/Senegal.png;Senegal
